# Experiment File Name : card ARV7 _8 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","210","-478577_mir","1.004","Inconclusive","UNKNOWN","38.040","37.556","0.684","-","-","-","-","-","-","-","true","0.2","true","3.0","33.0","false",
"A2","210","-477973_mir","0.798","No Amp","UNKNOWN","35.627","35.799","0.243","-","-","-","-","-","-","-","true","0.102","true","3.0","30.0","false",
"A3","210","-477975_mir","0.404","No Amp","UNKNOWN","Undetermined","39.35","-","-","-","-","-","-","-","-","true","0.09","true","3.0","39.0","false",
"A4","210","-477992_mir","0.804","No Amp","UNKNOWN","39.672","38.924","1.058","-","-","-","-","-","-","-","true","0.133","true","3.0","33.0","false",
"A5","210","-478369_mir","0.44","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false",
"A6","210","-478007_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.046","true","3.0","39.0","false",
"A7","210","-478606_mir","0.483","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A8","210","-478026_mir","0.354","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A9","210","-478213_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A10","210","-478343_mir","0.4","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.052","true","3.0","39.0","false",
"A11","210","-477860_mir","0.792","No Amp","UNKNOWN","Undetermined","34.866","-","-","-","-","-","-","-","-","true","0.304","true","3.0","39.0","false",
"A12","210","-478225_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A13","210","-478412_mir","0.375","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.045","true","3.0","39.0","false",
