# Experiment File Name : card ARV7 _8 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.757","0.045","false","1.0","2983.494",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.767","0.056","false","2.0","2953.509",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.753","0.042","false","3.0","2971.414",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.738","0.028","false","4.0","3015.057",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.737","0.027","false","5.0","2937.469",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.734","0.024","false","6.0","2998.079",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.707","-0.002","false","7.0","3048.967",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.702","-0.006","false","8.0","3079.281",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.701","-0.007","false","9.0","3038.733",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.687","-0.02","false","10.0","3083.814",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.698","-0.009","false","11.0","3069.131",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.691","-0.016","false","12.0","3062.588",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.695","-0.011","false","13.0","3110.46",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.696","-0.009","false","14.0","3125.536",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.68","-0.025","false","15.0","3157.551",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.694","-0.01","false","16.0","3071.99",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.681","-0.023","false","17.0","3105.177",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.701","-0.002","false","18.0","3109.831",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.697","-0.006","false","19.0","3157.313",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.694","-0.008","false","20.0","3160.121",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.692","-0.01","false","21.0","3140.822",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.691","-0.01","false","22.0","3150.24",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.69","-0.011","false","23.0","3193.006",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.69","-0.01","false","24.0","3138.703",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.686","-0.014","false","25.0","3165.954",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.687","-0.012","false","26.0","3186.573",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.685","-0.013","false","27.0","3248.604",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.702","0.004","false","28.0","3167.054",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.703","0.005","false","29.0","3224.983",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.711","0.013","false","30.0","3214.42",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.717","0.02","false","31.0","3192.584",
"card ARV7 _8 08.02.22.sds","","A1","-478577_mir","210","2.732","0.036","false","32.0","3147.174",
