# Experiment File Name : card ARV7 _10 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","229","-478577_mir","0.769","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A2","229","-477973_mir","1.335","Amp","UNKNOWN","29.412","29.346","0.094","-","-","-","-","-","-","-","true","0.231","true","3.0","22.0","false",
"A3","229","-477975_mir","1.325","Amp","UNKNOWN","20.957","20.876","0.114","-","-","-","-","-","-","-","true","0.218","true","3.0","15.0","false",
"A4","229","-477992_mir","1.393","Amp","UNKNOWN","22.531","22.324","0.294","-","-","-","-","-","-","-","true","0.356","true","3.0","15.0","false",
"A5","229","-478369_mir","1.334","Amp","UNKNOWN","25.142","25.093","0.069","-","-","-","-","-","-","-","true","0.23","true","3.0","19.0","false",
"A6","229","-478007_mir","1.333","Amp","UNKNOWN","21.035","20.761","0.388","-","-","-","-","-","-","-","true","0.051","true","3.0","18.0","false",
"A7","229","-478606_mir","0.989","Amp","UNKNOWN","22.843","23.165","0.455","-","-","-","-","-","-","-","true","0.042","true","3.0","21.0","false",
"A8","229","-478026_mir","0.853","Amp","UNKNOWN","23.834","24.641","1.141","-","-","-","-","-","-","-","true","0.04","true","3.0","20.0","false",
"A9","229","-478213_mir","0.719","Inconclusive","UNKNOWN","36.346","37.104","1.071","-","-","-","-","-","-","-","true","0.06","true","3.0","31.0","false",
"A10","229","-478343_mir","1.144","Amp","UNKNOWN","26.003","24.244","2.488","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A11","229","-477860_mir","1.421","Amp","UNKNOWN","20.622","20.577","0.063","-","-","-","-","-","-","-","true","0.399","true","3.0","13.0","false",
"A12","229","-478225_mir","1.1","Amp","UNKNOWN","23.230","23.181","0.069","-","-","-","-","-","-","-","true","0.049","true","3.0","20.0","false",
"A13","229","-478412_mir","1.022","Amp","UNKNOWN","17.238","19.823","3.656","-","-","-","-","-","-","-","true","0.043","true","3.0","14.0","false",
"A14","229","-477885_mir","1.389","Amp","UNKNOWN","28.105","27.916","0.268","-","-","-","-","-","-","-","true","0.337","true","3.0","21.0","false",
"A15","229","-478501_mir","0.78","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","229","-477916_mir","1.572","Amp","UNKNOWN","23.565","23.463","0.144","-","-","-","-","-","-","-","true","0.353","true","3.0","18.0","false",
"A17","229","-477925_mir","1.225","Amp","UNKNOWN","29.758","30.107","0.493","-","-","-","-","-","-","-","true","0.063","true","3.0","25.0","false",
"A18","229","-477967_mir","1.015","Amp","UNKNOWN","26.661","26.205","0.644","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A19","229","-477982_mir","1.382","Amp","UNKNOWN","25.810","25.63","0.255","-","-","-","-","-","-","-","true","0.329","true","3.0","18.0","false",
"A20","229","-478323_mir","1.195","Amp","UNKNOWN","21.781","22.363","0.823","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"A21","229","-478074_mir","0.702","No Amp","UNKNOWN","27.178","27.166","0.017","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"A22","229","-478350_mir","0.948","Inconclusive","UNKNOWN","Undetermined","36.779","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","229","-477952_mir","1.357","Amp","UNKNOWN","21.888","21.657","0.326","-","-","-","-","-","-","-","true","0.235","true","3.0","16.0","false",
"A24","229","-478411_mir","1.094","Amp","UNKNOWN","25.831","26.088","0.363","-","-","-","-","-","-","-","true","0.046","true","3.0","22.0","false",
"B1","229","-478577_mir","0.822","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"B2","229","-477973_mir","1.376","Amp","UNKNOWN","29.280","29.346","0.094","-","-","-","-","-","-","-","true","0.231","true","3.0","24.0","false",
"B3","229","-477975_mir","1.333","Amp","UNKNOWN","20.795","20.876","0.114","-","-","-","-","-","-","-","true","0.218","true","3.0","15.0","false",
"B4","229","-477992_mir","1.402","Amp","UNKNOWN","22.116","22.324","0.294","-","-","-","-","-","-","-","true","0.356","true","3.0","14.0","false",
"B5","229","-478369_mir","1.335","Amp","UNKNOWN","25.045","25.093","0.069","-","-","-","-","-","-","-","true","0.23","true","3.0","18.0","false",
"B6","229","-478007_mir","1.329","Amp","UNKNOWN","20.486","20.761","0.388","-","-","-","-","-","-","-","true","0.051","true","3.0","17.0","false",
