# Experiment File Name : card ARV7 _2 01.01.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.836","-0.005","false","1.0","2839.122",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.845","-0.014","false","2.0","2871.984",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.876","0.0","false","3.0","2750.923",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.886","-0.009","false","4.0","2774.985",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.914","0.001","false","5.0","2807.07",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.935","0.004","false","6.0","2799.763",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.967","0.019","false","7.0","2872.056",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","2.96","-0.006","false","8.0","2881.46",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.009","0.025","false","9.0","2796.473",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.001","-0.001","false","10.0","2866.116",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.023","0.002","false","11.0","2910.664",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.056","0.017","false","12.0","2785.615",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.065","0.009","false","13.0","2792.288",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.085","0.011","false","14.0","2777.352",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.081","-0.011","false","15.0","2852.294",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.119","0.009","false","16.0","2802.887",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.12","-0.008","false","17.0","2932.497",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.132","-0.014","false","18.0","2847.676",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.142","-0.022","false","19.0","2842.432",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.163","-0.018","false","20.0","2872.944",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.183","-0.017","false","21.0","2874.983",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.194","-0.024","false","22.0","2880.823",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.216","-0.02","false","23.0","2858.88",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.27","0.017","false","24.0","2807.93",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.275","0.004","false","25.0","2896.004",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.289","0.0","false","26.0","2831.051",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.308","0.001","false","27.0","2902.232",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.313","-0.013","false","28.0","2942.378",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.338","-0.005","false","29.0","2867.911",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.36","-0.001","false","30.0","2930.006",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.37","-0.009","false","31.0","2907.813",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.395","-0.002","false","32.0","2836.799",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.42","0.005","false","33.0","2974.367",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.459","0.027","false","34.0","2864.319",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.461","0.01","false","35.0","2837.57",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.483","0.015","false","36.0","2854.842",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.494","0.008","false","37.0","2874.283",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.506","0.001","false","38.0","2870.069",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.517","-0.005","false","39.0","2941.971",
"card ARV7 _2 01.01.22.sds","","A1","-478577_mir","111","3.517","-0.023","false","40.0","2837.105",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","1.948","-0.039","false","1.0","2781.535",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","1.97","-0.018","false","2.0","2842.737",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","1.988","-0.002","false","3.0","2725.362",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","1.982","-0.01","false","4.0","2778.33",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","1.993","-0.001","false","5.0","2700.684",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","1.992","-0.003","false","6.0","2776.512",
"card ARV7 _2 01.01.22.sds","","A2","-477973_mir","111","2.0","0.002","false","7.0","2826.369",
