# Experiment File Name : card ARV7 _2 01.01.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","111","-478577_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A2","111","-477973_mir","1.509","Amp","UNKNOWN","23.810","23.871","0.087","-","-","-","-","-","-","-","true","0.253","true","3.0","19.0","false",
"A3","111","-477975_mir","1.364","Amp","UNKNOWN","16.589","16.532","0.08","-","-","-","-","-","-","-","true","0.16","true","3.0","11.0","false",
"A4","111","-477992_mir","1.45","Amp","UNKNOWN","19.240","19.231","0.013","-","-","-","-","-","-","-","true","0.371","true","3.0","13.0","false",
"A5","111","-478369_mir","1.393","Amp","UNKNOWN","18.456","18.576","0.171","-","-","-","-","-","-","-","true","0.134","true","3.0","13.0","false",
"A6","111","-478007_mir","1.424","Amp","UNKNOWN","17.780","17.913","0.188","-","-","-","-","-","-","-","true","0.099","true","3.0","14.0","false",
"A7","111","-478606_mir","1.086","Amp","UNKNOWN","19.569","18.729","1.188","-","-","-","-","-","-","-","true","0.054","true","3.0","15.0","false",
"A8","111","-478026_mir","1.294","Amp","UNKNOWN","19.364","19.447","0.116","-","-","-","-","-","-","-","true","0.04","true","3.0","17.0","false",
"A9","111","-478213_mir","1.07","Inconclusive","UNKNOWN","31.202","30.66","0.766","-","-","-","-","-","-","-","true","0.077","true","3.0","26.0","false",
"A10","111","-478343_mir","1.177","Amp","UNKNOWN","22.708","22.94","0.328","-","-","-","-","-","-","-","true","0.04","true","3.0","20.0","false",
"A11","111","-477860_mir","1.475","Amp","UNKNOWN","18.031","18.042","0.016","-","-","-","-","-","-","-","true","0.548","true","3.0","11.0","false",
"A12","111","-478225_mir","1.147","Amp","UNKNOWN","20.858","20.603","0.361","-","-","-","-","-","-","-","true","0.04","true","3.0","18.0","false",
"A13","111","-478412_mir","1.152","Amp","UNKNOWN","17.587","18.026","0.62","-","-","-","-","-","-","-","true","0.04","true","3.0","14.0","false",
"A14","111","-477885_mir","1.438","Amp","UNKNOWN","25.026","25.02","0.009","-","-","-","-","-","-","-","true","0.409","true","3.0","18.0","false",
"A15","111","-478501_mir","0.84","Inconclusive","UNKNOWN","Undetermined","33.452","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","111","-477916_mir","1.631","Amp","UNKNOWN","18.871","18.814","0.08","-","-","-","-","-","-","-","true","0.245","true","3.0","14.0","false",
"A17","111","-477925_mir","1.338","Amp","UNKNOWN","23.282","23.218","0.091","-","-","-","-","-","-","-","true","0.042","true","3.0","20.0","false",
"A18","111","-477967_mir","0.921","Amp","UNKNOWN","24.440","24.366","0.104","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"A19","111","-477982_mir","1.443","Amp","UNKNOWN","22.130","22.158","0.039","-","-","-","-","-","-","-","true","0.206","true","3.0","17.0","false",
"A20","111","-478323_mir","1.277","Amp","UNKNOWN","19.387","19.388","0.002","-","-","-","-","-","-","-","true","0.05","true","3.0","16.0","false",
"A21","111","-478074_mir","0.891","Amp","UNKNOWN","22.308","22.628","0.452","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"A22","111","-478350_mir","1.004","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","111","-477952_mir","1.429","Amp","UNKNOWN","17.466","17.49","0.034","-","-","-","-","-","-","-","true","0.147","true","3.0","13.0","false",
"A24","111","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"B1","111","-478577_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"B2","111","-477973_mir","1.486","Amp","UNKNOWN","23.932","23.871","0.087","-","-","-","-","-","-","-","true","0.253","true","3.0","18.0","false",
"B3","111","-477975_mir","1.366","Amp","UNKNOWN","16.476","16.532","0.08","-","-","-","-","-","-","-","true","0.16","true","3.0","11.0","false",
"B4","111","-477992_mir","1.448","Amp","UNKNOWN","19.222","19.231","0.013","-","-","-","-","-","-","-","true","0.371","true","3.0","13.0","false",
"B5","111","-478369_mir","1.384","Amp","UNKNOWN","18.697","18.576","0.171","-","-","-","-","-","-","-","true","0.134","true","3.0","14.0","false",
"B6","111","-478007_mir","1.399","Amp","UNKNOWN","18.046","17.913","0.188","-","-","-","-","-","-","-","true","0.099","true","3.0","14.0","false",
"B7","111","-478606_mir","1.058","Amp","UNKNOWN","17.888","18.729","1.188","-","-","-","-","-","-","-","true","0.054","true","3.0","17.0","false",
"B8","111","-478026_mir","1.295","Amp","UNKNOWN","19.529","19.447","0.116","-","-","-","-","-","-","-","true","0.04","true","3.0","16.0","false",
"B9","111","-478213_mir","1.165","Amp","UNKNOWN","30.118","30.66","0.766","-","-","-","-","-","-","-","true","0.077","true","3.0","25.0","false",
"B10","111","-478343_mir","1.16","Amp","UNKNOWN","23.172","22.94","0.328","-","-","-","-","-","-","-","true","0.04","true","3.0","20.0","false",
"B11","111","-477860_mir","1.48","Amp","UNKNOWN","18.053","18.042","0.016","-","-","-","-","-","-","-","true","0.548","true","3.0","11.0","false",
"B12","111","-478225_mir","1.134","Amp","UNKNOWN","20.347","20.603","0.361","-","-","-","-","-","-","-","true","0.04","true","3.0","18.0","false",
"B13","111","-478412_mir","1.177","Amp","UNKNOWN","18.465","18.026","0.62","-","-","-","-","-","-","-","true","0.04","true","3.0","16.0","false",
"B14","111","-477885_mir","1.462","Amp","UNKNOWN","25.014","25.02","0.009","-","-","-","-","-","-","-","true","0.409","true","3.0","19.0","false",
"B15","111","-478501_mir","0.789","Inconclusive","UNKNOWN","33.452","33.452","-","-","-","-","-","-","-","-","true","0.2","true","3.0","24.0","false",
"B16","111","-477916_mir","1.645","Amp","UNKNOWN","18.757","18.814","0.08","-","-","-","-","-","-","-","true","0.245","true","3.0","14.0","false",
"B17","111","-477925_mir","1.352","Amp","UNKNOWN","23.153","23.218","0.091","-","-","-","-","-","-","-","true","0.042","true","3.0","20.0","false",
"B18","111","-477967_mir","0.974","Amp","UNKNOWN","24.292","24.366","0.104","-","-","-","-","-","-","-","true","0.04","true","3.0","20.0","false",
"B19","111","-477982_mir","1.431","Amp","UNKNOWN","22.186","22.158","0.039","-","-","-","-","-","-","-","true","0.206","true","3.0","16.0","false",
