# Experiment File Name : card ARV7 _6 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","146","-478577_mir","0.81","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.183","true","3.0","39.0","false",
"A2","146","-477973_mir","1.418","Amp","UNKNOWN","27.273","27.597","0.457","-","-","-","-","-","-","-","true","0.136","true","3.0","22.0","false",
"A3","146","-477975_mir","1.355","Amp","UNKNOWN","21.583","21.469","0.16","-","-","-","-","-","-","-","true","0.277","true","3.0","15.0","false",
"A4","146","-477992_mir","1.407","Amp","UNKNOWN","24.911","24.839","0.102","-","-","-","-","-","-","-","true","0.383","true","3.0","18.0","false",
"A5","146","-478369_mir","1.371","Amp","UNKNOWN","23.589","23.516","0.103","-","-","-","-","-","-","-","true","0.241","true","3.0","17.0","false",
"A6","146","-478007_mir","1.291","Amp","UNKNOWN","21.773","19.905","2.642","-","-","-","-","-","-","-","true","0.069","true","3.0","18.0","false",
"A7","146","-478606_mir","1.076","Amp","UNKNOWN","24.400","24.075","0.46","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"A8","146","-478026_mir","0.702","Inconclusive","UNKNOWN","21.199","23.444","3.175","-","-","-","-","-","-","-","true","0.04","true","3.0","18.0","false",
"A9","146","-478213_mir","0.698","Inconclusive","UNKNOWN","27.689","28.269","0.821","-","-","-","-","-","-","-","true","0.04","true","3.0","24.0","false",
"A10","146","-478343_mir","1.137","Amp","UNKNOWN","28.899","27.45","2.049","-","-","-","-","-","-","-","true","0.07","true","3.0","25.0","false",
"A11","146","-477860_mir","1.461","Amp","UNKNOWN","18.549","18.537","0.016","-","-","-","-","-","-","-","true","0.511","true","3.0","10.0","false",
"A12","146","-478225_mir","1.147","Amp","UNKNOWN","22.217","22.186","0.044","-","-","-","-","-","-","-","true","0.06","true","3.0","19.0","false",
"A13","146","-478412_mir","0.962","Amp","UNKNOWN","14.266","17.939","5.195","-","-","-","-","-","-","-","true","0.04","true","3.0","14.0","false",
"A14","146","-477885_mir","1.419","Amp","UNKNOWN","28.622","28.394","0.323","-","-","-","-","-","-","-","true","0.372","true","3.0","22.0","false",
"A15","146","-478501_mir","0.544","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A16","146","-477916_mir","1.516","Amp","UNKNOWN","24.586","24.561","0.035","-","-","-","-","-","-","-","true","0.366","true","3.0","18.0","false",
"A17","146","-477925_mir","1.268","Amp","UNKNOWN","31.998","31.299","0.989","-","-","-","-","-","-","-","true","0.115","true","3.0","27.0","false",
"A18","146","-477967_mir","0.891","Amp","UNKNOWN","25.850","25.57","0.396","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"A19","146","-477982_mir","1.412","Amp","UNKNOWN","27.401","27.131","0.382","-","-","-","-","-","-","-","true","0.369","true","3.0","20.0","false",
"A20","146","-478323_mir","1.07","Amp","UNKNOWN","23.590","22.279","1.855","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"A21","146","-478074_mir","0.7","No Amp","UNKNOWN","18.060","20.322","3.198","-","-","-","-","-","-","-","true","0.04","true","3.0","15.0","false",
"A22","146","-478350_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","146","-477952_mir","1.377","Amp","UNKNOWN","22.884","22.918","0.048","-","-","-","-","-","-","-","true","0.207","true","3.0","17.0","false",
"A24","146","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.061","true","3.0","39.0","false",
"B1","146","-478577_mir","0.779","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.183","true","3.0","39.0","false",
"B2","146","-477973_mir","1.426","Amp","UNKNOWN","27.920","27.597","0.457","-","-","-","-","-","-","-","true","0.136","true","3.0","24.0","false",
"B3","146","-477975_mir","1.362","Amp","UNKNOWN","21.356","21.469","0.16","-","-","-","-","-","-","-","true","0.277","true","3.0","15.0","false",
"B4","146","-477992_mir","1.413","Amp","UNKNOWN","24.766","24.839","0.102","-","-","-","-","-","-","-","true","0.383","true","3.0","18.0","false",
"B5","146","-478369_mir","1.373","Amp","UNKNOWN","23.444","23.516","0.103","-","-","-","-","-","-","-","true","0.241","true","3.0","18.0","false",
"B6","146","-478007_mir","1.271","Amp","UNKNOWN","18.037","19.905","2.642","-","-","-","-","-","-","-","true","0.069","true","3.0","13.0","false",
"B7","146","-478606_mir","1.049","Amp","UNKNOWN","23.750","24.075","0.46","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"B8","146","-478026_mir","0.896","Inconclusive","UNKNOWN","25.688","23.444","3.175","-","-","-","-","-","-","-","true","0.04","true","3.0","24.0","false",
"B9","146","-478213_mir","0.583","Inconclusive","UNKNOWN","28.850","28.269","0.821","-","-","-","-","-","-","-","true","0.04","true","3.0","26.0","false",
"B10","146","-478343_mir","1.161","Amp","UNKNOWN","26.002","27.45","2.049","-","-","-","-","-","-","-","true","0.07","true","3.0","22.0","false",
"B11","146","-477860_mir","1.467","Amp","UNKNOWN","18.526","18.537","0.016","-","-","-","-","-","-","-","true","0.511","true","3.0","10.0","false",
"B12","146","-478225_mir","1.14","Amp","UNKNOWN","22.155","22.186","0.044","-","-","-","-","-","-","-","true","0.06","true","3.0","19.0","false",
"B13","146","-478412_mir","0.984","Amp","UNKNOWN","21.612","17.939","5.195","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"B14","146","-477885_mir","1.432","Amp","UNKNOWN","28.166","28.394","0.323","-","-","-","-","-","-","-","true","0.372","true","3.0","20.0","false",
"B15","146","-478501_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"B16","146","-477916_mir","1.537","Amp","UNKNOWN","24.537","24.561","0.035","-","-","-","-","-","-","-","true","0.366","true","3.0","19.0","false",
"B17","146","-477925_mir","1.241","Amp","UNKNOWN","30.600","31.299","0.989","-","-","-","-","-","-","-","true","0.115","true","3.0","26.0","false",
"B18","146","-477967_mir","0.892","Amp","UNKNOWN","25.290","25.57","0.396","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"B19","146","-477982_mir","1.443","Amp","UNKNOWN","26.862","27.131","0.382","-","-","-","-","-","-","-","true","0.369","true","3.0","19.0","false",
"B20","146","-478323_mir","1.074","Amp","UNKNOWN","20.967","22.279","1.855","-","-","-","-","-","-","-","true","0.04","true","3.0","17.0","false",
"B21","146","-478074_mir","0.738","No Amp","UNKNOWN","22.583","20.322","3.198","-","-","-","-","-","-","-","true","0.04","true","3.0","18.0","false",
"B22","146","-478350_mir","0.0","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"B23","146","-477952_mir","1.373","Amp","UNKNOWN","22.952","22.918","0.048","-","-","-","-","-","-","-","true","0.207","true","3.0","17.0","false",
"B24","146","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.061","true","3.0","39.0","false",
"C1","147","-478577_mir","0.831","No Amp","UNKNOWN","Undetermined","30.409","-","-","-","-","-","-","-","-","true","0.183","true","3.0","39.0","false",
"C2","147","-477973_mir","1.22","Amp","UNKNOWN","29.777","29.496","0.397","-","-","-","-","-","-","-","true","0.136","true","3.0","25.0","false",
"C3","147","-477975_mir","1.351","Amp","UNKNOWN","22.798","22.661","0.194","-","-","-","-","-","-","-","true","0.277","true","3.0","17.0","false",
"C4","147","-477992_mir","1.399","Amp","UNKNOWN","24.706","24.914","0.294","-","-","-","-","-","-","-","true","0.383","true","3.0","18.0","false",
"C5","147","-478369_mir","1.31","Amp","UNKNOWN","25.439","24.953","0.687","-","-","-","-","-","-","-","true","0.241","true","3.0","20.0","false",
"C6","147","-478007_mir","1.194","Amp","UNKNOWN","19.038","19.929","1.26","-","-","-","-","-","-","-","true","0.069","true","3.0","14.0","false",
"C7","147","-478606_mir","1.086","Amp","UNKNOWN","22.185","21.866","0.451","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"C8","147","-478026_mir","0.725","Amp","UNKNOWN","20.790","22.574","2.523","-","-","-","-","-","-","-","true","0.04","true","3.0","17.0","false",
"C9","147","-478213_mir","0.608","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"C10","147","-478343_mir","1.012","Amp","UNKNOWN","19.800","23.589","5.357","-","-","-","-","-","-","-","true","0.07","true","3.0","15.0","false",
"C11","147","-477860_mir","1.47","Amp","UNKNOWN","20.438","20.415","0.033","-","-","-","-","-","-","-","true","0.511","true","3.0","13.0","false",
"C12","147","-478225_mir","1.0","Amp","UNKNOWN","20.141","20.977","1.183","-","-","-","-","-","-","-","true","0.06","true","3.0","15.0","false",
"C13","147","-478412_mir","1.002","Amp","UNKNOWN","22.710","19.764","4.166","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"C14","147","-477885_mir","1.408","Amp","UNKNOWN","25.761","25.559","0.286","-","-","-","-","-","-","-","true","0.372","true","3.0","19.0","false",
"C15","147","-478501_mir","0.0","No Amp","UNKNOWN","Undetermined","21.847","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"C16","147","-477916_mir","1.498","Amp","UNKNOWN","24.276","24.186","0.126","-","-","-","-","-","-","-","true","0.366","true","3.0","19.0","false",
"C17","147","-477925_mir","1.17","Amp","UNKNOWN","33.057","32.98","0.108","-","-","-","-","-","-","-","true","0.115","true","3.0","28.0","false",
"C18","147","-477967_mir","0.956","Amp","UNKNOWN","24.836","24.8","0.051","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"C19","147","-477982_mir","1.396","Amp","UNKNOWN","28.601","28.392","0.295","-","-","-","-","-","-","-","true","0.369","true","3.0","22.0","false",
"C20","147","-478323_mir","0.813","Inconclusive","UNKNOWN","25.825","24.594","1.742","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"C21","147","-478074_mir","1.072","Amp","UNKNOWN","19.360","18.757","0.853","-","-","-","-","-","-","-","true","0.04","true","3.0","16.0","false",
"C22","147","-478350_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"C23","147","-477952_mir","1.346","Amp","UNKNOWN","22.822","22.871","0.069","-","-","-","-","-","-","-","true","0.207","true","3.0","15.0","false",
"C24","147","-478411_mir","1.071","Amp","UNKNOWN","15.293","18.589","4.662","-","-","-","-","-","-","-","true","0.061","true","3.0","13.0","false",
"D1","147","-478577_mir","0.851","Inconclusive","UNKNOWN","30.409","30.409","-","-","-","-","-","-","-","-","true","0.183","true","3.0","20.0","false",
"D2","147","-477973_mir","1.182","Amp","UNKNOWN","29.215","29.496","0.397","-","-","-","-","-","-","-","true","0.136","true","3.0","23.0","false",
