# Experiment File Name : card ARV7 _12 09.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","246","-478577_mir","0.787","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.104","true","3.0","39.0","false",
"A2","246","-477973_mir","1.444","Amp","UNKNOWN","25.675","25.654","0.031","-","-","-","-","-","-","-","true","0.162","true","3.0","21.0","false",
"A3","246","-477975_mir","1.345","Amp","UNKNOWN","17.435","17.46","0.036","-","-","-","-","-","-","-","true","0.15","true","3.0","12.0","false",
"A4","246","-477992_mir","1.371","Amp","UNKNOWN","20.260","20.124","0.193","-","-","-","-","-","-","-","true","0.347","true","3.0","13.0","false",
"A5","246","-478369_mir","1.349","Amp","UNKNOWN","22.636","22.725","0.126","-","-","-","-","-","-","-","true","0.258","true","3.0","16.0","false",
"A6","246","-478007_mir","1.345","Amp","UNKNOWN","18.727","18.356","0.524","-","-","-","-","-","-","-","true","0.091","true","3.0","15.0","false",
"A7","246","-478606_mir","1.021","Amp","UNKNOWN","19.896","19.968","0.102","-","-","-","-","-","-","-","true","0.04","true","3.0","17.0","false",
"A8","246","-478026_mir","1.137","Amp","UNKNOWN","18.577","19.574","1.409","-","-","-","-","-","-","-","true","0.04","true","3.0","16.0","false",
"A9","246","-478213_mir","0.787","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.066","true","3.0","39.0","false",
"A10","246","-478343_mir","1.137","Amp","UNKNOWN","24.938","24.764","0.246","-","-","-","-","-","-","-","true","0.075","true","3.0","20.0","false",
"A11","246","-477860_mir","1.421","Amp","UNKNOWN","18.727","18.601","0.177","-","-","-","-","-","-","-","true","0.445","true","3.0","11.0","false",
"A12","246","-478225_mir","1.093","Amp","UNKNOWN","21.410","21.483","0.103","-","-","-","-","-","-","-","true","0.043","true","3.0","18.0","false",
"A13","246","-478412_mir","1.056","Amp","UNKNOWN","19.078","19.249","0.241","-","-","-","-","-","-","-","true","0.057","true","3.0","14.0","false",
"A14","246","-477885_mir","1.412","Amp","UNKNOWN","26.285","26.311","0.037","-","-","-","-","-","-","-","true","0.365","true","3.0","19.0","false",
"A15","246","-478501_mir","0.402","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","246","-477916_mir","1.586","Amp","UNKNOWN","21.726","21.731","0.008","-","-","-","-","-","-","-","true","0.399","true","3.0","15.0","false",
"A17","246","-477925_mir","1.311","Amp","UNKNOWN","26.270","26.23","0.057","-","-","-","-","-","-","-","true","0.085","true","3.0","22.0","false",
"A18","246","-477967_mir","0.899","Amp","UNKNOWN","24.891","23.955","1.323","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"A19","246","-477982_mir","1.402","Amp","UNKNOWN","23.967","23.875","0.13","-","-","-","-","-","-","-","true","0.301","true","3.0","17.0","false",
"A20","246","-478323_mir","1.164","Amp","UNKNOWN","21.375","21.502","0.18","-","-","-","-","-","-","-","true","0.041","true","3.0","18.0","false",
"A21","246","-478074_mir","0.976","Amp","UNKNOWN","21.966","21.831","0.191","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"A22","246","-478350_mir","0.97","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","246","-477952_mir","1.366","Amp","UNKNOWN","19.049","18.924","0.177","-","-","-","-","-","-","-","true","0.212","true","3.0","12.0","false",
"A24","246","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.199","true","3.0","39.0","false",
"B1","246","-478577_mir","0.856","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.104","true","3.0","39.0","false",
