# Experiment File Name : card ARV7 _12 09.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.973","0.094","false","1.0","2936.701",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.982","0.095","false","2.0","2896.23",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.982","0.087","false","3.0","3018.306",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.963","0.06","false","4.0","2984.027",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.976","0.065","false","5.0","3092.209",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.968","0.049","false","6.0","3050.961",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.953","0.026","false","7.0","3004.351",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.961","0.026","false","8.0","2992.957",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.975","0.032","false","9.0","3049.002",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.959","0.008","false","10.0","2993.654",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.96","0.001","false","11.0","3073.658",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.954","-0.013","false","12.0","3008.306",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.951","-0.024","false","13.0","3089.154",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.952","-0.031","false","14.0","3212.655",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.968","-0.023","false","15.0","3060.996",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.966","-0.033","false","16.0","2976.466",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.969","-0.038","false","17.0","3033.131",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.979","-0.036","false","18.0","3069.257",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.972","-0.051","false","19.0","2989.491",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.974","-0.057","false","20.0","3176.447",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.987","-0.052","false","21.0","2954.96",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.002","-0.045","false","22.0","3039.392",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.003","-0.052","false","23.0","3108.57",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","2.994","-0.069","false","24.0","3098.9",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.013","-0.058","false","25.0","2957.122",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.016","-0.063","false","26.0","3091.116",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.059","-0.028","false","27.0","2906.421",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.052","-0.043","false","28.0","3176.322",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.081","-0.021","false","29.0","3063.16",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.09","-0.02","false","30.0","3122.71",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.128","0.01","false","31.0","3057.864",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.148","0.021","false","32.0","3074.671",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.169","0.035","false","33.0","3136.253",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.179","0.037","false","34.0","3133.315",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.188","0.038","false","35.0","3149.527",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.212","0.053","false","36.0","3007.016",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.226","0.06","false","37.0","2935.235",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.245","0.071","false","38.0","3146.933",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.253","0.071","false","39.0","3016.629",
"card ARV7 _12 09.02.22.sds","","A1","-478577_mir","246","3.284","0.094","false","40.0","3153.912",
"card ARV7 _12 09.02.22.sds","","A2","-477973_mir","246","1.758","-0.046","false","1.0","2993.388",
"card ARV7 _12 09.02.22.sds","","A2","-477973_mir","246","1.784","-0.02","false","2.0","2925.388",
