# Experiment File Name : card ARV7 _11 09.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.043","0.072","false","1.0","3007.502",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.05","0.072","false","2.0","3058.521",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.052","0.067","false","3.0","3094.536",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.054","0.062","false","4.0","3077.372",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.071","0.073","false","5.0","3084.305",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.047","0.042","false","6.0","3202.697",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.048","0.036","false","7.0","3124.922",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.041","0.023","false","8.0","3148.136",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.025","-0.001","false","9.0","3225.931",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.041","0.009","false","10.0","3222.625",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.021","-0.018","false","11.0","3192.423",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.031","-0.014","false","12.0","3207.198",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.024","-0.028","false","13.0","3227.156",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.049","-0.01","false","14.0","3225.404",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.026","-0.039","false","15.0","3258.749",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.057","-0.016","false","16.0","3250.178",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.024","-0.055","false","17.0","3250.666",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.037","-0.049","false","18.0","3225.16",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.034","-0.058","false","19.0","3286.383",
"card ARV7 _11 09.02.22.sds","","A1","-478577_mir","237","3.067","-0.033","false","20.0","3204.114",
