# Experiment File Name : card ARV7 _5 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","137","-478577_mir","0.889","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.184","true","3.0","39.0","false",
"A2","137","-477973_mir","1.378","Amp","UNKNOWN","30.541","28.706","2.595","-","-","-","-","-","-","-","true","0.237","true","3.0","25.0","false",
"A3","137","-477975_mir","1.33","Amp","UNKNOWN","26.219","25.943","0.39","-","-","-","-","-","-","-","true","0.296","true","3.0","20.0","false",
"A4","137","-477992_mir","1.405","Amp","UNKNOWN","27.993","27.297","0.984","-","-","-","-","-","-","-","true","0.432","true","3.0","19.0","false",
"A5","137","-478369_mir","1.327","Amp","UNKNOWN","27.466","27.353","0.16","-","-","-","-","-","-","-","true","0.272","true","3.0","21.0","false",
"A6","137","-478007_mir","1.026","Amp","UNKNOWN","28.841","27.506","1.888","-","-","-","-","-","-","-","true","0.133","true","3.0","24.0","false",
"A7","137","-478606_mir","1.062","Amp","UNKNOWN","Undetermined","25.836","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A8","137","-478026_mir","0.109","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A9","137","-478213_mir","0.0","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.104","true","3.0","39.0","false",
"A10","137","-478343_mir","1.029","Amp","UNKNOWN","29.019","24.159","6.873","-","-","-","-","-","-","-","true","0.078","true","3.0","25.0","false",
"A11","137","-477860_mir","1.448","Amp","UNKNOWN","24.438","24.292","0.207","-","-","-","-","-","-","-","true","0.485","true","3.0","15.0","false",
"A12","137","-478225_mir","1.055","Amp","UNKNOWN","25.192","25.125","0.095","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A13","137","-478412_mir","0.846","Inconclusive","UNKNOWN","17.318","19.74","3.426","-","-","-","-","-","-","-","true","0.042","true","3.0","16.0","false",
"A14","137","-477885_mir","1.408","Amp","UNKNOWN","29.114","28.719","0.558","-","-","-","-","-","-","-","true","0.378","true","3.0","23.0","false",
"A15","137","-478501_mir","0.319","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","137","-477916_mir","1.494","Amp","UNKNOWN","26.764","26.765","0.001","-","-","-","-","-","-","-","true","0.396","true","3.0","20.0","false",
"A17","137","-477925_mir","1.032","Amp","UNKNOWN","36.479","35.094","1.959","-","-","-","-","-","-","-","true","0.146","true","3.0","31.0","false",
