# Experiment File Name : card ARV7 _1 01.01.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","102","-478577_mir","0.821","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.047","true","3.0","39.0","false",
"A2","102","-477973_mir","0.82","No Amp","UNKNOWN","Undetermined","39.166","-","-","-","-","-","-","-","-","true","0.24","true","3.0","39.0","false",
"A3","102","-477975_mir","0.944","Amp","UNKNOWN","29.766","29.442","0.458","-","-","-","-","-","-","-","true","0.059","true","3.0","25.0","false",
"A4","102","-477992_mir","1.242","Amp","UNKNOWN","34.778","34.703","0.106","-","-","-","-","-","-","-","true","0.208","true","3.0","29.0","false",
"A5","102","-478369_mir","0.584","No Amp","UNKNOWN","Undetermined","39.501","-","-","-","-","-","-","-","-","true","0.129","true","3.0","39.0","false",
"A6","102","-478007_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.058","true","3.0","39.0","false",
"A7","102","-478606_mir","0.913","Inconclusive","UNKNOWN","Undetermined","33.155","-","-","-","-","-","-","-","-","true","0.043","true","3.0","39.0","false",
"A8","102","-478026_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A9","102","-478213_mir","0.0","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.108","true","3.0","39.0","false",
"A10","102","-478343_mir","0.837","Amp","UNKNOWN","33.429","32.76","0.946","-","-","-","-","-","-","-","true","0.04","true","3.0","30.0","false",
"A11","102","-477860_mir","1.389","Amp","UNKNOWN","29.499","29.252","0.349","-","-","-","-","-","-","-","true","0.42","true","3.0","22.0","false",
"A12","102","-478225_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.044","true","3.0","39.0","false",
"A13","102","-478412_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A14","102","-477885_mir","1.136","Amp","UNKNOWN","36.233","36.178","0.078","-","-","-","-","-","-","-","true","0.162","true","3.0","30.0","false",
"A15","102","-478501_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","102","-477916_mir","1.217","Amp","UNKNOWN","30.181","29.785","0.559","-","-","-","-","-","-","-","true","0.239","true","3.0","22.0","false",
"A17","102","-477925_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.082","true","3.0","39.0","false",
"A18","102","-477967_mir","0.603","Inconclusive","UNKNOWN","28.514","28.584","0.099","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A19","102","-477982_mir","0.972","Amp","UNKNOWN","37.625","38.076","0.638","-","-","-","-","-","-","-","true","0.168","true","3.0","30.0","false",
"A20","102","-478323_mir","0.603","No Amp","UNKNOWN","25.511","25.511","-","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"A21","102","-478074_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"A22","102","-478350_mir","0.745","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","102","-477952_mir","0.808","No Amp","UNKNOWN","35.766","34.576","1.684","-","-","-","-","-","-","-","true","0.126","true","3.0","28.0","false",
"A24","102","-478411_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false",
"B1","102","-478577_mir","0.867","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.047","true","3.0","39.0","false",
"B2","102","-477973_mir","0.863","No Amp","UNKNOWN","39.166","39.166","-","-","-","-","-","-","-","-","true","0.24","true","3.0","28.0","false",
"B3","102","-477975_mir","0.966","Inconclusive","UNKNOWN","29.118","29.442","0.458","-","-","-","-","-","-","-","true","0.059","true","3.0","25.0","false",
"B4","102","-477992_mir","1.158","Amp","UNKNOWN","34.628","34.703","0.106","-","-","-","-","-","-","-","true","0.208","true","3.0","26.0","false",
"B5","102","-478369_mir","0.681","No Amp","UNKNOWN","39.501","39.501","-","-","-","-","-","-","-","-","true","0.129","true","3.0","28.0","false",
