# Experiment File Name : card ARV7 _9 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.982","0.076","false","1.0","2971.089",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.992","0.081","false","2.0","2868.997",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.98","0.064","false","3.0","2944.762",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.977","0.056","false","4.0","2989.636",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.975","0.05","false","5.0","2946.55",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.996","0.066","false","6.0","2938.191",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.987","0.053","false","7.0","2929.15",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.962","0.024","false","8.0","2982.713",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.958","0.015","false","9.0","3031.117",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.941","-0.008","false","10.0","3008.032",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.942","-0.011","false","11.0","3023.671",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.953","-0.004","false","12.0","3017.005",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.95","-0.012","false","13.0","3010.471",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.933","-0.034","false","14.0","3076.999",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.951","-0.021","false","15.0","3012.944",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.956","-0.02","false","16.0","3023.992",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.947","-0.034","false","17.0","3056.171",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.94","-0.046","false","18.0","3017.752",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.943","-0.048","false","19.0","3040.155",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.954","-0.041","false","20.0","3092.49",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.971","-0.029","false","21.0","3050.506",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.96","-0.044","false","22.0","3086.053",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.962","-0.047","false","23.0","3099.581",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.959","-0.054","false","24.0","3108.609",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.97","-0.048","false","25.0","3063.616",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.966","-0.057","false","26.0","3092.186",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.984","-0.043","false","27.0","3103.687",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","2.998","-0.034","false","28.0","3061.048",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.001","-0.036","false","29.0","3135.722",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.025","-0.017","false","30.0","3115.029",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.042","-0.005","false","31.0","3041.76",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.056","0.006","false","32.0","3084.282",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.066","0.01","false","33.0","3050.627",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.091","0.03","false","34.0","3062.928",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.118","0.053","false","35.0","3098.157",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.119","0.049","false","36.0","3127.386",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.134","0.06","false","37.0","3142.256",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.149","0.07","false","38.0","3149.141",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.167","0.084","false","39.0","3104.711",
"card ARV7 _9 08.02.22.sds","","A1","-478577_mir","219","3.19","0.102","false","40.0","3134.271",
"card ARV7 _9 08.02.22.sds","","A2","-477973_mir","219","1.672","-0.021","false","1.0","2996.251",
"card ARV7 _9 08.02.22.sds","","A2","-477973_mir","219","1.676","-0.018","false","2.0","2962.706",
"card ARV7 _9 08.02.22.sds","","A2","-477973_mir","219","1.688","-0.008","false","3.0","3012.976",
"card ARV7 _9 08.02.22.sds","","A2","-477973_mir","219","1.692","-0.006","false","4.0","3022.399",
"card ARV7 _9 08.02.22.sds","","A2","-477973_mir","219","1.7","0.001","false","5.0","3000.713",
"card ARV7 _9 08.02.22.sds","","A2","-477973_mir","219","1.712","0.012","false","6.0","2997.229",
