# Experiment File Name : card ARV7 _9 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","219","-478577_mir","0.728","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A2","219","-477973_mir","1.343","Amp","UNKNOWN","32.534","31.732","1.134","-","-","-","-","-","-","-","true","0.202","true","3.0","26.0","false",
"A3","219","-477975_mir","1.319","Amp","UNKNOWN","25.405","25.386","0.026","-","-","-","-","-","-","-","true","0.253","true","3.0","19.0","false",
"A4","219","-477992_mir","1.376","Amp","UNKNOWN","28.247","28.264","0.024","-","-","-","-","-","-","-","true","0.35","true","3.0","21.0","false",
"A5","219","-478369_mir","1.326","Amp","UNKNOWN","25.927","25.883","0.061","-","-","-","-","-","-","-","true","0.177","true","3.0","20.0","false",
"A6","219","-478007_mir","1.177","Amp","UNKNOWN","25.406","25.339","0.095","-","-","-","-","-","-","-","true","0.059","true","3.0","22.0","false",
"A7","219","-478606_mir","1.088","Amp","UNKNOWN","24.131","23.331","1.131","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A8","219","-478026_mir","0.592","Inconclusive","UNKNOWN","27.743","26.444","1.837","-","-","-","-","-","-","-","true","0.04","true","3.0","22.0","false",
"A9","219","-478213_mir","0.0","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.058","true","3.0","39.0","false",
"A10","219","-478343_mir","1.148","Amp","UNKNOWN","29.860","29.357","0.711","-","-","-","-","-","-","-","true","0.04","true","3.0","27.0","false",
"A11","219","-477860_mir","1.46","Amp","UNKNOWN","20.376","20.423","0.067","-","-","-","-","-","-","-","true","0.46","true","3.0","13.0","false",
"A12","219","-478225_mir","1.155","Amp","UNKNOWN","23.941","23.857","0.118","-","-","-","-","-","-","-","true","0.066","true","3.0","21.0","false",
"A13","219","-478412_mir","1.004","Amp","UNKNOWN","21.988","20.757","1.741","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"A14","219","-477885_mir","1.4","Amp","UNKNOWN","29.701","29.655","0.065","-","-","-","-","-","-","-","true","0.328","true","3.0","22.0","false",
"A15","219","-478501_mir","0.516","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","219","-477916_mir","1.522","Amp","UNKNOWN","26.280","26.244","0.05","-","-","-","-","-","-","-","true","0.317","true","3.0","21.0","false",
"A17","219","-477925_mir","0.896","Inconclusive","UNKNOWN","30.128","30.931","1.136","-","-","-","-","-","-","-","true","0.051","true","3.0","25.0","false",
"A18","219","-477967_mir","0.706","Inconclusive","UNKNOWN","28.813","28.813","-","-","-","-","-","-","-","-","true","0.052","true","3.0","24.0","false",
"A19","219","-477982_mir","1.393","Amp","UNKNOWN","30.658","30.585","0.102","-","-","-","-","-","-","-","true","0.252","true","3.0","23.0","false",
"A20","219","-478323_mir","0.981","Amp","UNKNOWN","27.192","26.268","1.307","-","-","-","-","-","-","-","true","0.06","true","3.0","23.0","false",
"A21","219","-478074_mir","0.992","Amp","UNKNOWN","24.503","23.196","1.848","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"A22","219","-478350_mir","0.93","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
