# Experiment File Name : card ARV7 _7 08.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","154","-478577_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A2","154","-477973_mir","1.327","Amp","UNKNOWN","32.914","32.967","0.076","-","-","-","-","-","-","-","true","0.287","true","3.0","24.0","false",
"A3","154","-477975_mir","1.305","Amp","UNKNOWN","24.374","24.176","0.28","-","-","-","-","-","-","-","true","0.28","true","3.0","18.0","false",
"A4","154","-477992_mir","1.337","Amp","UNKNOWN","27.398","27.101","0.419","-","-","-","-","-","-","-","true","0.349","true","3.0","19.0","false",
"A5","154","-478369_mir","1.339","Amp","UNKNOWN","25.710","25.538","0.243","-","-","-","-","-","-","-","true","0.295","true","3.0","19.0","false",
"A6","154","-478007_mir","1.214","Amp","UNKNOWN","25.454","25.302","0.214","-","-","-","-","-","-","-","true","0.148","true","3.0","19.0","false",
"A7","154","-478606_mir","1.047","Amp","UNKNOWN","25.972","25.34","0.893","-","-","-","-","-","-","-","true","0.059","true","3.0","20.0","false",
"A8","154","-478026_mir","0.953","Amp","UNKNOWN","22.647","22.514","0.188","-","-","-","-","-","-","-","true","0.04","true","3.0","20.0","false",
"A9","154","-478213_mir","0.784","Inconclusive","UNKNOWN","34.371","34.371","-","-","-","-","-","-","-","-","true","0.062","true","3.0","30.0","false",
"A10","154","-478343_mir","0.846","Amp","UNKNOWN","31.154","29.421","2.45","-","-","-","-","-","-","-","true","0.043","true","3.0","27.0","false",
"A11","154","-477860_mir","1.418","Amp","UNKNOWN","19.334","19.216","0.168","-","-","-","-","-","-","-","true","0.365","true","3.0","12.0","false",
"A12","154","-478225_mir","1.132","Amp","UNKNOWN","23.607","23.61","0.003","-","-","-","-","-","-","-","true","0.047","true","3.0","20.0","false",
"A13","154","-478412_mir","0.88","Amp","UNKNOWN","20.542","21.249","0.999","-","-","-","-","-","-","-","true","0.04","true","3.0","18.0","false",
"A14","154","-477885_mir","1.398","Amp","UNKNOWN","30.491","30.075","0.589","-","-","-","-","-","-","-","true","0.383","true","3.0","23.0","false",
"A15","154","-478501_mir","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A16","154","-477916_mir","1.478","Amp","UNKNOWN","25.265","25.196","0.097","-","-","-","-","-","-","-","true","0.361","true","3.0","19.0","false",
"A17","154","-477925_mir","0.904","Amp","UNKNOWN","34.772","34.772","-","-","-","-","-","-","-","-","true","0.107","true","3.0","29.0","false",
"A18","154","-477967_mir","0.858","Amp","UNKNOWN","26.182","24.919","1.786","-","-","-","-","-","-","-","true","0.04","true","3.0","23.0","false",
"A19","154","-477982_mir","1.333","Amp","UNKNOWN","31.283","30.762","0.737","-","-","-","-","-","-","-","true","0.362","true","3.0","24.0","false",
"A20","154","-478323_mir","0.777","Inconclusive","UNKNOWN","28.968","29.073","0.148","-","-","-","-","-","-","-","true","0.064","true","3.0","24.0","false",
"A21","154","-478074_mir","0.835","Amp","UNKNOWN","23.380","24.186","1.14","-","-","-","-","-","-","-","true","0.04","true","3.0","19.0","false",
"A22","154","-478350_mir","0.923","Inconclusive","UNKNOWN","Undetermined","36.945","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false",
"A23","154","-477952_mir","1.268","Amp","UNKNOWN","27.572","28.029","0.647","-","-","-","-","-","-","-","true","0.244","true","3.0","20.0","false",
