# Experiment File Name : card ARV7 _4 07.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","129","-478577_mir","0.807","Inconclusive","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.187","true","3.0","39.0","false",
"A2","129","-477973_mir","1.356","Amp","UNKNOWN","30.920","30.652","0.379","-","-","-","-","-","-","-","true","0.174","true","3.0","25.0","false",
"A3","129","-477975_mir","1.331","Amp","UNKNOWN","22.415","22.348","0.094","-","-","-","-","-","-","-","true","0.098","true","3.0","19.0","false",
"A4","129","-477992_mir","1.391","Amp","UNKNOWN","26.442","26.098","0.486","-","-","-","-","-","-","-","true","0.336","true","3.0","20.0","false",
"A5","129","-478369_mir","1.325","Amp","UNKNOWN","25.211","25.541","0.466","-","-","-","-","-","-","-","true","0.147","true","3.0","19.0","false",
"A6","129","-478007_mir","1.136","Amp","UNKNOWN","22.774","23.812","1.467","-","-","-","-","-","-","-","true","0.075","true","3.0","18.0","false",
"A7","129","-478606_mir","1.065","Amp","UNKNOWN","24.794","26.087","1.829","-","-","-","-","-","-","-","true","0.086","true","3.0","21.0","false",
"A8","129","-478026_mir","0.763","Inconclusive","UNKNOWN","27.959","28.573","0.868","-","-","-","-","-","-","-","true","0.04","true","3.0","24.0","false",
"A9","129","-478213_mir","0.832","Inconclusive","UNKNOWN","Undetermined","35.596","-","-","-","-","-","-","-","-","true","0.154","true","3.0","39.0","false",
"A10","129","-478343_mir","1.108","Amp","UNKNOWN","28.835","28.695","0.198","-","-","-","-","-","-","-","true","0.075","true","3.0","23.0","false",
"A11","129","-477860_mir","1.457","Amp","UNKNOWN","21.550","21.531","0.027","-","-","-","-","-","-","-","true","0.468","true","3.0","14.0","false",
"A12","129","-478225_mir","1.088","Amp","UNKNOWN","22.516","23.391","1.237","-","-","-","-","-","-","-","true","0.072","true","3.0","17.0","false",
"A13","129","-478412_mir","1.014","Amp","UNKNOWN","23.681","23.378","0.429","-","-","-","-","-","-","-","true","0.04","true","3.0","21.0","false",
"A14","129","-477885_mir","1.434","Amp","UNKNOWN","27.422","27.28","0.201","-","-","-","-","-","-","-","true","0.28","true","3.0","21.0","false",
