# Experiment File Name : card ARV7 _4 07.02.22.sds
# Created By :giulia.salva@gmail.com
# Last Modified Date : 2022-02-10 09:46:08 AM
# Instrument Type : 7900HT Real-Time PCR System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","2.969","0.06","false","1.0","3128.893",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","2.974","0.053","false","2.0","3084.454",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","2.963","0.031","false","3.0","3113.96",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","2.986","0.042","false","4.0","3206.673",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.004","0.049","false","5.0","3176.556",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.012","0.046","false","6.0","3214.026",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.01","0.033","false","7.0","3199.728",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.011","0.022","false","8.0","3220.696",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.007","0.007","false","9.0","3229.925",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.019","0.007","false","10.0","3187.744",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.017","-0.005","false","11.0","3273.725",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.032","-0.001","false","12.0","3255.512",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.046","0.001","false","13.0","3246.259",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.05","-0.006","false","14.0","3335.084",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.051","-0.017","false","15.0","3291.893",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.062","-0.017","false","16.0","3322.093",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.055","-0.035","false","17.0","3274.728",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.073","-0.029","false","18.0","3288.373",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.079","-0.034","false","19.0","3281.972",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.09","-0.034","false","20.0","3317.229",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.097","-0.039","false","21.0","3327.119",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.096","-0.051","false","22.0","3321.634",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.138","-0.021","false","23.0","3345.66",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.115","-0.054","false","24.0","3323.208",
"card ARV7 _4 07.02.22.sds","","A1","-478577_mir","129","3.143","-0.037","false","25.0","3326.189",
